date,temperature
2021-01-01 0:00,-2.4
2021-01-01 6:00,-2.2
2021-01-01 12:00,-0.5
2021-01-01 18:00,-0.4
2021-01-02 0:00,-0.9
2021-01-02 6:00,-2.9
2021-01-02 12:00,0
2021-01-02 18:00,0.6
2021-01-03 0:00,0.6
2021-01-03 6:00,1.3
2021-01-03 12:00,2.4
2021-01-03 18:00,1.6
2021-01-04 0:00,0.9
2021-01-04 6:00,1.3
2021-01-04 12:00,2.8
2021-01-04 18:00,2.4
2021-01-05 0:00,1.9
2021-01-05 6:00,1.8
2021-01-05 12:00,0.8
2021-01-05 18:00,0.3
2021-01-06 0:00,0.5
2021-01-06 6:00,0.5
2021-01-06 12:00,1.8
2021-01-06 18:00,0.2
2021-01-07 0:00,0.3
2021-01-07 6:00,0
2021-01-07 12:00,1.2
2021-01-07 18:00,1
2021-01-08 0:00,1.2
2021-01-08 6:00,-0.2
2021-01-08 12:00,2.2
2021-01-08 18:00,0.3
2021-01-09 0:00,0.8
2021-01-09 6:00,0.6
2021-01-09 12:00,1.2
2021-01-09 18:00,0.8
2021-01-10 0:00,0.3
2021-01-10 6:00,0.4
2021-01-10 12:00,1.3
2021-01-10 18:00,0.7
2021-01-11 0:00,-0.7
2021-01-11 6:00,-4.3
2021-01-11 12:00,2.4
2021-01-11 18:00,-2.3
2021-01-12 0:00,-1.6
2021-01-12 6:00,-0.2
2021-01-12 12:00,1.5
2021-01-12 18:00,1.5
2021-01-13 0:00,0.6
2021-01-13 6:00,0.7
2021-01-13 12:00,2.7
2021-01-13 18:00,1.9
2021-01-14 0:00,0.4
2021-01-14 6:00,-1.1
2021-01-14 12:00,0.8
2021-01-14 18:00,0
2021-01-15 0:00,-1.2
2021-01-15 6:00,-1.3
2021-01-15 12:00,-2.2
2021-01-15 18:00,-1.5
2021-01-16 0:00,-3.4
2021-01-16 6:00,-3.9
2021-01-16 12:00,-3.7
2021-01-16 18:00,-3
2021-01-17 0:00,-3.3
2021-01-17 6:00,-10
2021-01-17 12:00,-8.2
2021-01-17 18:00,-13.8
2021-01-18 0:00,-16.1
2021-01-18 6:00,-14.2
2021-01-18 12:00,-6.5
2021-01-18 18:00,-5
2021-01-19 0:00,0.1
2021-01-19 6:00,1.6
2021-01-19 12:00,3.2
2021-01-19 18:00,0.5
2021-01-20 0:00,1
2021-01-20 6:00,1.2
2021-01-20 12:00,7
2021-01-20 18:00,3
2021-01-21 0:00,1.8
2021-01-21 6:00,2.4
2021-01-21 12:00,7.5
2021-01-21 18:00,4
2021-01-22 0:00,6.1
2021-01-22 6:00,3.8
2021-01-22 12:00,12.8
2021-01-22 18:00,6.1
2021-01-23 0:00,1.3
2021-01-23 6:00,4.5
2021-01-23 12:00,9.7
2021-01-23 18:00,2.5
2021-01-24 0:00,1.6
2021-01-24 6:00,0.5
2021-01-24 12:00,2.5
2021-01-24 18:00,2.6
2021-01-25 0:00,1.3
2021-01-25 6:00,0.7
2021-01-25 12:00,1.3
2021-01-25 18:00,-0.4
2021-01-26 0:00,0.5
2021-01-26 6:00,0.4
2021-01-26 12:00,1.4
2021-01-26 18:00,0.4
2021-01-27 0:00,0.1
2021-01-27 6:00,-0.1
2021-01-27 12:00,2.7
2021-01-27 18:00,1.9
2021-01-28 0:00,-3.5
2021-01-28 6:00,-1.4
2021-01-28 12:00,3
2021-01-28 18:00,2
2021-01-29 0:00,-1.6
2021-01-29 6:00,-2
2021-01-29 12:00,0.3
2021-01-29 18:00,-0.6
2021-01-30 0:00,-1.6
2021-01-30 6:00,-2.6
2021-01-30 12:00,-1.2
2021-01-30 18:00,-1.7
2021-01-31 0:00,-7.9
2021-01-31 6:00,-7.1
2021-01-31 12:00,-0.3
2021-01-31 18:00,-8.5
2021-02-01 0:00,-12
2021-02-01 6:00,-12
2021-02-01 12:00,-1.3
2021-02-01 18:00,-5.2
2021-02-02 0:00,-5.3
2021-02-02 6:00,-2.8
2021-02-02 12:00,3.6
2021-02-02 18:00,3.4
2021-02-03 0:00,2
2021-02-03 6:00,3.1
2021-02-03 12:00,11
2021-02-03 18:00,6.7
2021-02-04 0:00,7.3
2021-02-04 6:00,5.6
2021-02-04 12:00,1.6
2021-02-04 18:00,0
2021-02-05 0:00,-0.3
2021-02-05 6:00,-0.7
2021-02-05 12:00,0.5
2021-02-05 18:00,0.3
2021-02-06 0:00,-1.2
2021-02-06 6:00,-1.5
2021-02-06 12:00,-0.5
2021-02-06 18:00,-2
2021-02-07 0:00,-4.7
2021-02-07 6:00,-8.2
2021-02-07 12:00,-7.4
2021-02-07 18:00,-7.4
2021-02-08 0:00,-8
2021-02-08 6:00,-9.1
2021-02-08 12:00,-7.1
2021-02-08 18:00,-8.2
2021-02-09 0:00,-9.6
2021-02-09 6:00,-8.3
2021-02-09 12:00,-6.4
2021-02-09 18:00,-7.3
2021-02-10 0:00,-7.9
2021-02-10 6:00,-8.4
2021-02-10 12:00,-6.5
2021-02-10 18:00,-8
2021-02-11 0:00,-9.8
2021-02-11 6:00,-9.2
2021-02-11 12:00,-6
2021-02-11 18:00,-10.9
2021-02-12 0:00,-8.3
2021-02-12 6:00,-10.7
2021-02-12 12:00,-4.7
2021-02-12 18:00,-7.5
2021-02-13 0:00,-7.9
2021-02-13 6:00,-6.9
2021-02-13 12:00,-1.3
2021-02-13 18:00,-1.7
2021-02-14 0:00,-5.1
2021-02-14 6:00,-5.6
2021-02-14 12:00,-1.3
2021-02-14 18:00,-4.9
2021-02-15 0:00,-7.7
2021-02-15 6:00,-10.4
2021-02-15 12:00,-1.7
2021-02-15 18:00,-6
2021-02-16 0:00,-4.8
2021-02-16 6:00,-3.9
2021-02-16 12:00,0.2
2021-02-16 18:00,0.4
2021-02-17 0:00,-0.9
2021-02-17 6:00,-0.3
2021-02-17 12:00,4.1
2021-02-17 18:00,4.7
2021-02-18 0:00,4
2021-02-18 6:00,1.6
2021-02-18 12:00,6.2
2021-02-18 18:00,3.8
2021-02-19 0:00,1.2
2021-02-19 6:00,0.9
2021-02-19 12:00,8.8
2021-02-19 18:00,5.9
2021-02-20 0:00,-1.7
2021-02-20 6:00,-3.7
2021-02-20 12:00,10.6
2021-02-20 18:00,4.3
2021-02-21 0:00,1.5
2021-02-21 6:00,-0.7
2021-02-21 12:00,11.6
2021-02-21 18:00,4
2021-02-22 0:00,-1.8
2021-02-22 6:00,-2.2
2021-02-22 12:00,11.5
2021-02-22 18:00,3.4
2021-02-23 0:00,-1.6
2021-02-23 6:00,-3.1
2021-02-23 12:00,14.5
2021-02-23 18:00,7.4
2021-02-24 0:00,2.6
2021-02-24 6:00,0.7
2021-02-24 12:00,20.1
2021-02-24 18:00,13.2
2021-02-25 0:00,2.5
2021-02-25 6:00,0.1
